Name	a332577	a332581	a332585	a332589	a332593	a332597	a332601	a332469	a332477	a332481	a332485	a332489	a332353	a332361	a332365	a332369	a332373	a332241	a332245	a332249	a332253	a332257	a332261	a332265	a332129	a332133	a332137	a332141	a332145	a332149	a332153	a332633	a332637	a332641	a332645	a332649	a332653	a332657	a332525	a332529	a332533	a332537	a332541	a332545	a332409	a332413	a332417	a332421	a332429	a332297	a332301	a332305	a332309	a332313	a332317	a332321	a332185	a332189	a332193	a332197	a332201	a332205	a332209	a332605	a332609	a332613	a332617	a332625	a332629	a332493	a332497	a332501	a332505	a332509	a332513	a332381	a332385	a332389	a332393	a332397	a332401	a332405	a332269	a332273	a332277	a332281	a332285	a332289	a332293	a332157	a332161	a332165	a332169	a332173	a332181	a332661	a332665	a332669	a332673	a332677	a332685	a332549	a332553	a332557	a332561	a332565	a332569	a332437	a332445	a332449	a332457	a332461	a332325	a332329	a332333	a332337	a332341	a332345	a332349	a332217	a332221	a332225	a332229	a332233	a332237
217804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	19	1	0	0	0	0	0	0	0
217794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217784	3	3	2	0	0	0	0	0	1	1	0	0	0	3	2	7	0	0	0	1	0	3	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	1	2	3	3	1	2	1	2	0	1	3	1	0	0	1	1	1	0	0	0	2	0	0	4	0	0	1	1	1	0	1	3	2	1	1	0	0	3	0	5	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	1	1	1	1	13	0	0	0	0	0	0	0	0	0	0	2	2	11	0	0	0	0	0	0	0
217783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	4
216568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
216424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
215682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
215504	3	1	0	0	1	6	2	0	0	0	0	0	2	0	2	4	3	1	0	2	2	2	0	0	5	0	3	1	0	3	3	3	1	0	4	9	3	4	0	0	0	0	0	0	3	3	3	0	0	2	0	6	0	2	1	2	4	1	0	1	4	0	1	3	1	2	11	1	3	0	0	0	0	0	0	0	0	1	1	1	1	4	1	0	1	0	0	0	0	3	0	3	3	4	1	5	3	8	4	3	11	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	4	0	2	0	3
